date,open,high,low,close,volume,market cap
10-Mar-24,68500.26,70005.2,68239.98,69019.79,35683977532,1.35628E+12
09-Mar-24,68299.26,68673.06,68053.13,68498.88,21609650379,1.34601E+12
08-Mar-24,66938.09,70083.05,66230.45,68300.1,59202881172,1.34199E+12
07-Mar-24,66099.74,68029.92,65655.53,66925.48,46989543159,1.31518E+12
06-Mar-24,63776.05,67637.93,62848.67,66106.8,68750229073,1.29864E+12
05-Mar-24,68341.06,69170.63,59323.91,63801.2,1.02803E+11,1.25293E+12
04-Mar-24,63137,68537.03,62386.52,68330.42,70670471105,1.34233E+12
03-Mar-24,62031.58,63230.21,61435.02,63167.37,26253811450,1.24086E+12
02-Mar-24,62431.65,62458.7,61657.29,62029.85,23888473685,1.21845E+12
01-Mar-24,61168.06,63155.1,60802.53,62440.63,40186368423,1.22647E+12
29-Feb-24,62499.18,63585.64,60498.73,61198.38,65496611844,1.20201E+12
28-Feb-24,57071.1,63913.13,56738.42,62504.79,83239156760,1.22762E+12
27-Feb-24,54519.36,57537.84,54484.2,57085.37,49756832031,1.12113E+12
26-Feb-24,51730.54,54938.17,50931.03,54522.4,34074411896,1.07074E+12
